mondo_id	label	category	prevalence_per_100k_us	prioritization_category
MONDO:0008922	Sengers syndrome	Cardiac		expanded
MONDO:0008102	sick sinus syndrome 2, autosomal dominant	Cardiac		expanded
MONDO:0032753	spastic ataxia 9, autosomal recessive	Neurodegenerative		expanded
MONDO:0014803	spasticity-ataxia-gait anomalies syndrome	Neurodegenerative		expanded
MONDO:0859245	spinocerebellar ataxia, autosomal recessive 32	Neurodegenerative		expanded
MONDO:0009033	temtamy syndrome	Neurodevelopmental		expanded
MONDO:0008767	neuronal ceroid lipofuscinosis 3	Neurodegenerative		expanded
MONDO:0009591	metachromatic leukodystrophy, juvenile form	Neurodegenerative		expanded
MONDO:0009689	congenital myasthenic syndrome 6	Neuroimmune		expanded
MONDO:0010533	Arts syndrome	Neurodegenerative		expanded
MONDO:0010533	Arts syndrome	Neurodevelopmental		expanded
MONDO:0008842	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	Neurodegenerative		expanded
MONDO:0012166	autosomal dominant sensory ataxia 1	Neurodegenerative		expanded
MONDO:0008858	Behr syndrome	Neurodegenerative		expanded
MONDO:0008858	Behr syndrome	Neurodevelopmental		expanded
MONDO:0008980	ataxia-hypogonadism-choroidal dystrophy syndrome	Neurodegenerative		expanded
MONDO:0044720	cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome	Neurodegenerative		expanded
MONDO:0010689	Charcot-Marie-Tooth disease X-linked recessive 4	Neurodevelopmental		expanded
MONDO:0100531	Emery-Dreifuss muscular dystrophy 1, X-linked	Cardiac		expanded
MONDO:0007571	primary erythermalgia	Cardiac		expanded
MONDO:0011706	Kufor-Rakeb syndrome	Neurodegenerative		expanded
MONDO:0700286	leukodystrophy, demyelinating, adult-onset, autosomal dominant, atypical	Neurodegenerative		expanded
MONDO:0014292	leukoencephalopathy with mild cerebellar ataxia and white matter edema	Neurodegenerative		expanded
MONDO:0800027	leukoencephalopathy, diffuse hereditary, with spheroids 1	Neurodegenerative		expanded
MONDO:0007182	Machado-Joseph disease	Neurodegenerative		expanded
MONDO:0012251	MEDNIK syndrome	Neurodevelopmental		expanded
MONDO:0032853	myopathy, distal, 6, adult-onset, autosomal dominant	Cardiac		expanded
MONDO:0013656	intellectual disability, autosomal dominant 9	Neurodevelopmental		expanded
MONDO:0011638	neuroferritinopathy	Neurodegenerative		expanded
MONDO:0013674	neurodegeneration with brain iron accumulation 4	Neurodegenerative		expanded
MONDO:0032650	neurodegeneration, childhood-onset, with cerebellar atrophy	Neurodegenerative		expanded
MONDO:0958323	neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities	Neurodegenerative		expanded
MONDO:0958323	neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities	Neurodevelopmental		expanded
MONDO:0008451	neuronopathy, distal hereditary motor, autosomal dominant 1	Neurodegenerative		expanded
MONDO:0013884	neuronopathy, distal hereditary motor, type 5B	Neurodegenerative		expanded
MONDO:0030860	neuronopathy, distal hereditary motor, type 5C	Neurodegenerative		expanded
MONDO:0008024	neuronopathy, distal hereditary motor, type 7A	Neurodegenerative		expanded
MONDO:0013947	neuronopathy, distal hereditary motor, autosomal recessive 5	Neurodegenerative		expanded
MONDO:0010338	X-linked distal spinal muscular atrophy type 3	Neurodegenerative		expanded
MONDO:0020737	optic atrophy 10 with or without ataxia, intellectual disability, and seizures	Neurodegenerative		expanded
MONDO:0020737	optic atrophy 10 with or without ataxia, intellectual disability, and seizures	Neurodevelopmental		expanded
MONDO:0007429	optic atrophy with or without deafness, ophthalmoplegia, myopathy, ataxia, and neuropathy	Neurodegenerative		expanded
MONDO:0013060	autosomal recessive Parkinson disease 14	Neurodegenerative		expanded
MONDO:0010820	autosomal recessive juvenile Parkinson disease 2	Neurodegenerative		expanded
MONDO:0009783	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 1	Neurodegenerative		expanded
MONDO:0014686	short stature, microcephaly, and endocrine dysfunction	Neurodevelopmental		expanded
MONDO:0011445	hereditary spastic paraplegia 11	Neurodevelopmental		expanded
MONDO:0014209	early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome	Neurodegenerative		expanded
MONDO:0957813	spastic paraplegia 91, autosomal dominant, with or without cerebellar ataxia	Neurodegenerative		expanded
MONDO:0010735	Kennedy disease	Neurodegenerative		expanded
MONDO:0008453	adult-onset proximal spinal muscular atrophy, autosomal dominant	Neurodegenerative		expanded
MONDO:0008119	spinocerebellar ataxia type 1	Neurodegenerative		expanded
MONDO:0012449	spinocerebellar ataxia type 23	Neurodegenerative		expanded
MONDO:0012103	spinocerebellar ataxia type 25	Neurodegenerative		expanded
MONDO:0008654	spinocerebellar ataxia 27A	Neurodegenerative		expanded
MONDO:0007296	spinocerebellar ataxia type 31	Neurodegenerative		expanded
MONDO:0010847	spinocerebellar ataxia type 4	Neurodegenerative		expanded
MONDO:0014867	spinocerebellar ataxia 43	Neurodegenerative		expanded
MONDO:0033481	spinocerebellar ataxia 46	Neurodegenerative		expanded
MONDO:0014339	autosomal recessive spinocerebellar ataxia 16	Neurodegenerative		expanded
MONDO:0014744	acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome	Neurodegenerative		expanded
MONDO:0033116	spinocerebellar ataxia, autosomal recessive 26	Neurodegenerative		expanded
MONDO:0011811	autosomal recessive cerebellar ataxia-saccadic intrusion syndrome	Neurodegenerative		expanded
MONDO:0012549	autosomal recessive ataxia, Beauce type	Neurodegenerative		expanded
MONDO:0018996	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2	Neurodegenerative		expanded
MONDO:0009796	ornithine aminotransferase deficiency	Cardiac		expanded
MONDO:0024559	aortic aneurysm, familial thoracic 1	Cardiac		expanded
MONDO:0014950	aortic aneurysm, familial thoracic 10	Cardiac		expanded
MONDO:0030731	aortic aneurysm, familial thoracic 12	Cardiac		expanded
MONDO:0011770	aortic aneurysm, familial thoracic 2	Cardiac		expanded
MONDO:0007568	aortic aneurysm, familial thoracic 4	Cardiac		expanded
MONDO:0012730	aortic aneurysm, familial thoracic 6	Cardiac		expanded
MONDO:0013418	aortic aneurysm, familial thoracic 7	Cardiac		expanded
MONDO:0014187	aortic aneurysm, familial thoracic 8	Cardiac		expanded
MONDO:0014514	aortic aneurysm, familial thoracic 9	Cardiac		expanded
MONDO:0013066	46,XY sex reversal 3	Cardiac		expanded
MONDO:0007088	Alzheimer disease type 1	Cardiac		expanded
MONDO:0007088	Alzheimer disease type 1	Neurodegenerative		expanded
MONDO:0008895	hereditary arterial and articular multiple calcification syndrome	Cardiac		expanded
MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	Neurodegenerative		expanded
MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	Neuroimmune		expanded
MONDO:0008199	late-onset Parkinson disease	Neurodegenerative		expanded
MONDO:0008436	Sneddon syndrome	Cardiac		expanded
MONDO:0032526	spinocerebellar ataxia 48	Neurodegenerative		expanded
MONDO:0008644	velocardiofacial syndrome	Cardiac		expanded
MONDO:0014340	atrial fibrillation, familial, 15	Cardiac		expanded
MONDO:0013545	atrial fibrillation, familial, 12	Cardiac		expanded
MONDO:0015001	atrial fibrillation, familial, 18	Cardiac		expanded
MONDO:0012434	arrhythmogenic right ventricular dysplasia 10	Cardiac		expanded
MONDO:0012506	arrhythmogenic right ventricular dysplasia 11	Cardiac		expanded
MONDO:0011459	arrhythmogenic right ventricular dysplasia 5	Cardiac		expanded
MONDO:0012180	arrhythmogenic right ventricular dysplasia 9	Cardiac		expanded
MONDO:0012066	atrial fibrillation, familial, 1	Cardiac		expanded
MONDO:0013530	atrial fibrillation, familial, 10	Cardiac		expanded
MONDO:0013544	atrial fibrillation, familial, 11	Cardiac		expanded
MONDO:0014155	atrial fibrillation, familial, 13	Cardiac		expanded
MONDO:0014156	atrial fibrillation, familial, 14	Cardiac		expanded
MONDO:0013146	Brugada syndrome 7	Cardiac		expanded
MONDO:0012737	long QT syndrome 10	Cardiac		expanded
MONDO:0012167	atrial fibrillation, familial, 2	Cardiac		expanded
MONDO:0011857	atrial fibrillation, familial, 3	Cardiac		expanded
MONDO:0012677	atrial fibrillation, familial, 4	Cardiac		expanded
MONDO:0012816	atrial fibrillation, familial, 6	Cardiac		expanded
MONDO:0012828	atrial fibrillation, familial, 7	Cardiac		expanded
MONDO:0013513	atrial fibrillation, familial, 9	Cardiac		expanded
MONDO:0011001	Brugada syndrome 1	Cardiac		expanded
MONDO:0014191	catecholaminergic polymorphic ventricular tachycardia 5	Cardiac		expanded
MONDO:0100316	long QT syndrome 1	Cardiac		expanded
MONDO:0014548	long QT syndrome 14	Cardiac		expanded
MONDO:0014550	long QT syndrome 15	Cardiac		expanded
MONDO:0032915	long QT syndrome 16	Cardiac		expanded
MONDO:0013367	long QT syndrome 2	Cardiac		expanded
MONDO:0011377	long QT syndrome 3	Cardiac		expanded
MONDO:0012312	short QT syndrome type 1	Cardiac		expanded
MONDO:0012313	short QT syndrome type 2	Cardiac		expanded
MONDO:0012314	short QT syndrome type 3	Cardiac		expanded
MONDO:0011484	catecholaminergic polymorphic ventricular tachycardia 1	Cardiac		expanded
MONDO:0012762	catecholaminergic polymorphic ventricular tachycardia 2	Cardiac		expanded
MONDO:0013529	catecholaminergic polymorphic ventricular tachycardia 3	Cardiac		expanded
MONDO:0013966	catecholaminergic polymorphic ventricular tachycardia 4	Cardiac		expanded
MONDO:0013261	dilated cardiomyopathy 1R	Cardiac		expanded
MONDO:0012808	dilated cardiomyopathy 1AA	Cardiac		expanded
MONDO:0014883	hypertrophic cardiomyopathy 26	Cardiac		expanded
MONDO:0011094	dilated cardiomyopathy 1C	Cardiac		expanded
MONDO:0014163	left ventricular noncompaction 10	Cardiac		expanded
MONDO:0013262	dilated cardiomyopathy 1S	Cardiac		expanded
MONDO:0014100	dilated cardiomyopathy 1KK	Cardiac		expanded
MONDO:0012744	dilated cardiomyopathy 1Y	Cardiac		expanded
MONDO:0011257	MPI-congenital disorder of glycosylation	Cardiac		expanded
MONDO:0008908	MGAT2-congenital disorder of glycosylation	Cardiac		expanded
MONDO:0008908	MGAT2-congenital disorder of glycosylation	Neurodevelopmental		expanded
MONDO:0012637	COG1-congenital disorder of glycosylation	Cardiac		expanded
MONDO:0010478	SLC35A2-congenital disorder of glycosylation	Neurodevelopmental		expanded
MONDO:0012556	DK1-congenital disorder of glycosylation	Cardiac		expanded
MONDO:0013968	PGM1-congenital disorder of glycosylation	Cardiac		expanded
MONDO:0014023	congenital muscular dystrophy with intellectual disability and severe epilepsy	Neurodevelopmental		expanded
MONDO:0009159	Ehlers-Danlos syndrome, cardiac valvular type	Cardiac		expanded
MONDO:0020681	Ehlers-Danlos syndrome, musculocontractural type 1	Cardiac		expanded
MONDO:0014236	Ehlers-Danlos syndrome, musculocontractural type 2	Cardiac		expanded
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	Cardiac		expanded
MONDO:0012212	Loeys-Dietz syndrome 1	Cardiac		expanded
MONDO:0012427	Loeys-Dietz syndrome 2	Cardiac		expanded
MONDO:0013426	aneurysm-osteoarthritis syndrome	Cardiac		expanded
MONDO:0013897	Loeys-Dietz syndrome 4	Cardiac		expanded
MONDO:0014262	Rienhoff syndrome	Cardiac		expanded
MONDO:0030500	Loeys-Dietz syndrome 6	Cardiac		expanded
MONDO:0024557	ataxia-telangiectasia-like disorder 1	Neurodegenerative		expanded
MONDO:0009745	neuronal ceroid lipofuscinosis 5	Neurodegenerative		expanded
MONDO:0100340	Friedreich ataxia 1	Neurodegenerative		expanded
MONDO:0031006	neurodegeneration with ataxia and late-onset optic atrophy	Neurodegenerative		expanded
MONDO:0030028	neurodegeneration, childhood-onset, with ataxia, tremor, optic atrophy, and cognitive decline	Neurodegenerative		expanded
MONDO:0011541	dilated cardiomyopathy 1J	Cardiac		expanded
MONDO:0011840	dilated cardiomyopathy 1M	Cardiac		expanded
MONDO:0859381	cardiomyopathy, dilated, 100	Cardiac		expanded
MONDO:0013371	dilated cardiomyopathy 1U	Cardiac		expanded
MONDO:0012746	dilated cardiomyopathy 2A	Cardiac		expanded
MONDO:0013848	dilated cardiomyopathy 2B	Cardiac		expanded
MONDO:0859358	cardiomyopathy, dilated, 2H	Cardiac		expanded
MONDO:0010951	dilated cardiomyopathy 1B	Cardiac		expanded
MONDO:0007269	dilated cardiomyopathy 1A	Cardiac		expanded
MONDO:0013030	dilated cardiomyopathy 1BB	Cardiac		expanded
MONDO:0013147	dilated cardiomyopathy 1CC	Cardiac		expanded
MONDO:0013168	dilated cardiomyopathy 1DD	Cardiac		expanded
MONDO:0011003	dilated cardiomyopathy 1E	Cardiac		expanded
MONDO:0013198	dilated cardiomyopathy 1EE	Cardiac		expanded
MONDO:0013211	dilated cardiomyopathy 1FF	Cardiac		expanded
MONDO:0011400	dilated cardiomyopathy 1G	Cardiac		expanded
MONDO:0013339	dilated cardiomyopathy 1GG	Cardiac		expanded
MONDO:0011425	dilated cardiomyopathy 1H	Cardiac		expanded
MONDO:0013479	dilated cardiomyopathy 1HH	Cardiac		expanded
MONDO:0011482	dilated cardiomyopathy 1I	Cardiac		expanded
MONDO:0014073	dilated cardiomyopathy 1II	Cardiac		expanded
MONDO:0014095	dilated cardiomyopathy 1JJ	Cardiac		expanded
MONDO:0011567	dilated cardiomyopathy 1K	Cardiac		expanded
MONDO:0011702	dilated cardiomyopathy 1L	Cardiac		expanded
MONDO:0014396	dilated cardiomyopathy 1NN	Cardiac		expanded
MONDO:0012062	dilated cardiomyopathy 1O	Cardiac		expanded
MONDO:0012362	dilated cardiomyopathy 1P	Cardiac		expanded
MONDO:0012364	dilated cardiomyopathy 1Q	Cardiac		expanded
MONDO:0013373	dilated cardiomyopathy 1V	Cardiac		expanded
MONDO:0012667	dilated cardiomyopathy 1W	Cardiac		expanded
MONDO:0012704	dilated cardiomyopathy 1X	Cardiac		expanded
MONDO:0012745	dilated cardiomyopathy 1Z	Cardiac		expanded
MONDO:0032592	cardiomyopathy, dilated, 2c	Cardiac		expanded
MONDO:0030300	cardiomyopathy, dilated, 2D	Cardiac		expanded
MONDO:0030366	cardiomyopathy, dilated, 2E	Cardiac		expanded
MONDO:0030680	cardiomyopathy, dilated, 2F	Cardiac		expanded
MONDO:0030887	cardiomyopathy, dilated, 2G	Cardiac		expanded
MONDO:0957545	cardiomyopathy, dilated, 2I	Cardiac		expanded
MONDO:0957984	cardiomyopathy, dilated, 2j	Cardiac		expanded
MONDO:0010542	dilated cardiomyopathy 3B	Cardiac		expanded
MONDO:0014152	left ventricular noncompaction 8	Cardiac		expanded
MONDO:0011095	dilated cardiomyopathy 1D	Cardiac		expanded
MONDO:0013120	46,XY sex reversal 5	Cardiac		expanded
MONDO:0010342	autism, susceptibility to, X-linked 3	Neurodevelopmental		expanded
MONDO:0014558	autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome	Cardiac		expanded
MONDO:0014558	autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome	Neurodevelopmental		expanded
MONDO:0014205	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	Neurodevelopmental		expanded
MONDO:0859139	blepharophimosis-impaired intellectual development syndrome	Neurodevelopmental		expanded
MONDO:0011510	Bohring-Opitz syndrome	Neurodevelopmental		expanded
MONDO:0010537	Borjeson-Forssman-Lehmann syndrome	Neurodevelopmental		expanded
MONDO:0035133	PHIP-related behavioral problems-intellectual disability-obesity-dysmorphic features syndrome	Neurodevelopmental		expanded
MONDO:0014751	palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome	Neurodevelopmental		expanded
MONDO:0013821	intellectual disability, autosomal dominant 16	Neurodevelopmental		expanded
MONDO:0014150	developmental and epileptic encephalopathy 94	Neurodevelopmental		expanded
MONDO:0010747	X-linked dystonia-parkinsonism	Neurodegenerative		expanded
MONDO:0010397	severe neonatal-onset encephalopathy with microcephaly	Neurodevelopmental		expanded
MONDO:0007621	Floating-Harbor syndrome	Neurodevelopmental		expanded
MONDO:0009338	hepatic veno-occlusive disease-immunodeficiency syndrome	Cardiac		expanded
MONDO:0032882	Heyn-Sproul-Jackson syndrome	Neurodevelopmental		expanded
MONDO:0014017	intellectual developmental disorder with autism and macrocephaly	Neurodevelopmental		expanded
MONDO:0015022	intellectual developmental disorder with dysmorphic facies and ptosis	Neurodevelopmental		expanded
MONDO:0033559	intellectual developmental disorder with seizures and language delay	Neurodevelopmental		expanded
MONDO:0007974	intellectual disability, autosomal dominant 1	Neurodevelopmental		expanded
MONDO:0014336	intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency	Neurodevelopmental		expanded
MONDO:0014486	intellectual disability, autosomal dominant 30	Neurodevelopmental		expanded
MONDO:0030917	intellectual disability, autosomal dominant 51	Neurodevelopmental		expanded
MONDO:0030918	intellectual disability, autosomal dominant 52	Neurodevelopmental		expanded
MONDO:0020850	intellectual disability, autosomal recessive 65	Neurodevelopmental		expanded
MONDO:0010393	intellectual disability, X-linked 93	Neurodevelopmental		expanded
MONDO:0010235	X-linked intellectual disability-psychosis-macroorchidism syndrome	Neurodevelopmental		expanded
MONDO:0010500	intellectual disability, X-linked, syndromic 33	Neurodevelopmental		expanded
MONDO:0010355	syndromic X-linked intellectual disability Claes-Jensen type	Neurodevelopmental		expanded
